HD no.	work status	province / Italic region	modern country	ancient find spot	modern find spot	find spot (village, street, etc.)	Chronological data	Literature	Transcription	Photos
HD015521	provisional	Barbaricum	Armenia	Artaxata	Pok̀r Ved			AE 1968, 0510.	Imp(erator) Caesar div[i] Nervae f[il(ius) N]erva Traianus / optimus A[u]g(ustus) G[e]rm(anicus) Daci[c(us) Par]thicus pont(ifex) max(imus) / trib(unicia) pot(estate) X[X im]p(erator) XIII co(n)s(ul) VI [p(ater) p(atriae) pe]r leg(ionem) IIII Scyt(hicam) fecit
HD015524	provisional	Barbaricum	Armenia	Artaxata	Pok̀r Ved			AE 1968, 0511.	D(is) M(anibus) / C(aio) Val(erio) Cre(scenti?) / mil(iti) vex(illationis) leg(ionis) I / Italic(a)e milit(avit) / [---] vics[it](!) / [------] / [------] / [---]lo / [---]S leg(ionis) / [---]R MILE [--- b(ene)] m(erenti) p(osu---)
HD029916	provisional	Armenia	Armenia		Vagharchepat			AE 1910, 0161.  AE 1911, p. 18 s. n. 83.  ILS 9117.	Imp(eratori) Caes(ari) M(arco) Aure(lio) Antoni(no) / Aug(usto) Germ(anico) vexill(ationes) le(gionum) XV Ap(o)l(linaris) et / XII ful(minatae) fec(erunt) sub C(aius)(!) Arri(us)(!) / Antoninus(!) [p]r(a)eses p(rovinciae) / Pop(ilius) Macrin(us) tr(i)b(unus) c(o)h(ortis) |(miliariae) eq(uitatae) c(ivium) R(omanorum) / et Tit(us) Aur(elius) Varus |(centurio) l(e)g(ionis) XV Ap(o)l(linaris) pr(a)epositi [---]
